#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dhcp
#open	2019-06-17-09-45-29
#fields	ts	uids	client_addr	server_addr	mac	host_name	client_fqdn	domain	requested_addr	assigned_addr	lease_time	client_message	server_message	msg_types	duration
#types	time	set[string]	addr	addr	string	string	string	string	addr	addr	interval	string	string	vector[string]	interval
1560735915.105773	CuAd5u2SyKIdprmzIc	113.54.215.113	113.54.192.1	30:b4:9e:b0:9f:bb	lw-B85M-D3V	-	-	-	113.54.215.113	1800.000000	-	-	REQUEST,ACK	0.000000
1560735912.997766	CqFleh4FDtlTMzAGVj	-	-	5c:09:47:3f:4a:4c	yangzifdeiPhone	-	-	113.54.218.139	-	-	-	-	REQUEST,REQUEST	4.192023
1560735918.457768	CqFleh4FDtlTMzAGVj	-	-	5c:09:47:3f:4a:4c	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.218.139	-	-	-	-	DISCOVER,REQUEST	1.844036
1560735918.585782	CqFleh4FDtlTMzAGVj	-	-	30:74:96:49:71:a9	HUAWEI_P10_Plus-9d52f75a7	-	-	-	-	-	-	-	DISCOVER	0.000000
1560735910.773837	CqFleh4FDtlTMzAGVj	-	-	60:a3:7d:5c:2a:0c	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.207.150	-	-	-	-	DISCOVER,REQUEST	2.020010
1560735912.517806	CqFleh4FDtlTMzAGVj	-	-	38:f9:d3:d3:94:e9	yangtaodeMBP	-	-	211.83.98.144	-	-	-	-	DISCOVER,REQUEST	1.060000
1560735914.557831	CqFleh4FDtlTMzAGVj	-	-	48:3c:0c:9b:b7:6a	HUAWEI_P9-865e0d545b911cf	-	-	113.54.204.199	-	-	-	-	DISCOVER,REQUEST	0.147967
1560735917.553771	CqFleh4FDtlTMzAGVj	-	-	d8:63:75:c6:0b:a7	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	113.54.193.170	-	-	-	-	DISCOVER,REQUEST	3.200024
1560735915.197759	CqFleh4FDtlTMzAGVj	-	-	74:a5:28:c3:e4:d9	HUAWEI_Mate_8-495d0faa037	-	-	113.54.210.122	-	-	-	-	DISCOVER,REQUEST	0.068041
1560735926.241836	CqFleh4FDtlTMzAGVj	-	-	60:a3:7d:5c:2a:0c	virtual_sta\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00	-	-	-	-	-	-	-	DISCOVER	0.000000
1560735923.293814	CqFleh4FDtlTMzAGVj	-	-	dc:a9:04:91:b8:16	cicideMBP	-	-	211.83.101.43	-	-	-	-	REQUEST	0.000000
